url,trump,clinton,johnson,stein,mcmullin
url,trump,clinton,johnson,stein,mcmullin,state
https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/,43,47,4,0,
https://datastudio.google.com/u/0/,35.69,38.03,5.46,0,
http://projects.fivethirtyeight.com/polls/20161108_National_2.pdf,39,42,6,0,
https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l37rosbwjp/econTabReport_lv.pdf,41,45,5,0,
http://www.gravispolls.com/2016/11/final-national-poll-2016-gravis.html?m=1,43,47,3,0,
http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html,44,48,3,0,
http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,41,45,5,0,
http://www.nbcnews.com/storyline/2016-election-day/final-nbc-wsj-poll-clinton-holds-four-point-national-lead-n678611,40,44,6,0,
http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,42.7,41.2,7.1,0,
http://www.bloomberg.com/politics/articles/2016-11-07/national-poll,41,44,4,0,
http://angusreid.org/wp-content/uploads/2016/11/2016.11.04-US-Horserace.pdf,44,48,6,0,
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/,44,50,4,0,
http://www.mcclatchydc.com/news/politics-government/election/article112635048.html,43,44,6,0,
https://luc.id/2016-presidential-tracker/,40,45,5,0,
http://latimes.com/politics/,46.84,43.61,,0,
,47.6,3.472548,44.4,0,4.3
http://www.upi.com/Top_News/US/2016/11/07/UPICVoter-poll-Hillary-Clinton-holds-slim-lead-over-Donald-Trump-on-eve-of-election/5881478528364/,46.13,48.91,,0,
https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/,42,45,8,0,
http://www.nbcnews.com/storyline/data-points/poll-eve-election-day-clinton-maintains-her-edge-over-trump-n678816,41,47,6,0,
http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/,40,46,6,0,
http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_nov7,43,45,4,0,
http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,45,49,4,0,
http://www.rand.org/pubs/research_reports/RR1792.html,34.6,43.7,7.7,0,
http://ap-gfkpoll.com/main/wp-content/uploads/2016/10/October-2016-AP-GfK-Poll-Topline_Campaign.pdf,37,51,6,0,
http://www.foxnews.com/politics/interactive/2016/11/04/fox-news-poll-results-11416/,44,45.5,5,0,
https://www.suffolk.edu/documents/SUPRC/10_26_2016_marginals.pdf,37.6,47.4,3.9,0,
https://www.qu.edu/images/polling/us/us10192016_U29frgv.pdf,40,47,7,0,
http://www.socialsecurityworks.org/wp-content/uploads/2016/10/NationalResults.pdf,40,46,5,0,
http://i2.cdn.turner.com/cnn/2016/images/10/24/cnn.poll.pdf,44,49,3,0,
http://www.bloomberg.com/politics/articles/2016-10-19/national-poll,38,47,8,0,
http://www.democracycorps.com/attachments/article/1051/Dcor_Oct%20National_FQ_10.24.2016_ealert.pdf,38,50,5,0,
http://polls.saintleo.edu/clinton-lead-growing-in-florida-and-across-the-u-s-in-new-saint-leo-poll-and-most-expect-her-to-win-the-presidency/,34.95,46.05,7.6,0,
http://www.surveyusa.com/client/PollReport.aspx?g=43152229-1c55-4feb-8b4d-50aeb48c36b1,36,46,5,0,
http://files.kff.org/attachment/Kaiser-Health-Tracking-Poll-October-2016,38,49,,0,
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_101716/,38,50,5,0,
http://www.cbsnews.com/news/five-days-to-go-the-presidential-race-tightens-cbsnyt-poll/,42,45,5,0,
http://americanresearchgroup.com/pres2016/na16-6.html,42,49,,0,
