url,rawpoll_trump,rawpoll_clinton,rawpoll_johnson,rawpoll_mcmullin,state
http://projects.fivethirtyeight.com.s3.amazonaws.com/polls/20161107_NM.pdf,44,46,6,0,New Mexico
http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf,43,48,1,0,Virginia
http://www.desmoinesregister.com/story/news/politics/iowa-poll/2016/11/05/iowa-poll-trump-opens-7-point-lead-over-clinton/93347134/?hootPostID=244ad51ae6af519614281eb8c6904b90,46,39,6,0,Iowa
https://twitter.com/MULawPoll,40,46,4,0,Wisconsin
http://www.nytimes.com/2016/11/08/upshot/trump-and-clinton-tied-in-final-upshot-poll-of-north-carolina.html,44,44,3,0,North Carolina
http://landmarkcommunications.net/landmarkrosetta-stone-releases-final-sunday-poll-of-georgia-voters-for-president-senate/,49,46,3,0,Georgia
https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401,45,46,2,0,Florida
https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401,45,47,3,0,North Carolina
https://www.washingtonpost.com/local/virginia-politics/clinton-leads-trump-in-virginia-in-new-washington-post-poll-propelled-by-voter-rich-northern-virginia/2016/10/31/1e560cce-9f9c-11e6-8832-23a007c77bb4_story.html,42,48,6,0,Virginia
http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48,44,3,0,Georgia
http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,40,44,6,0,Oregon
http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48,42,4,0,Ohio
http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,48,43,3,0,South Carolina
https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vvlr48n70w/OH_Prelim_20161106.pdf,46,45,0,0,Ohio
http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf,44,46,0,0,Virginia
http://www.gravispolls.com/2016/11/multi-state-polls.html?m=1,36,55,2,0,New York
http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf,41,46,6,0,Michigan
https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf,47,49,0,0,North Carolina
